"GeneSymbol","GeneID","RefSeq_Protein_GI","RefSeq_Protein_Accession","Uniprot_Protein_Accession"
"SORBS1",10580,"578818828; 767961289; 1034566005; 1034566013; 1034566049; 1034566057; 1034566065; 1034566069; 594140587; 78000169; 578818820; 1034566051; 1034566067; 1034566071; 1034566081; 78000165; 78000160; 1034566019; 1034566023; 1034566029; 1034566031; 1034566035; 1034566037; 1034566043; 1034566063; 1034566073; 1034566075; 1034566079; 1370456182; 594140581; 767961279; 1034566017; 78000163; 78000171; 594140579; 594140585; 1034566001; 1034566009; 1034566047; 1034566055; 1034566059; 1034566061; 594140583; 1034566007; 1034566021; 1034566027; 1034566033; 1034566045; 78000167; 767961259; 767961313; 1034566003; 1034566011; 1034566041; 1034566053; 1034566015; 1034566025; 1370456186; 7661700","XP_016871001; XP_016871003; XP_016871011; XP_016871015; XP_016871017; XP_016871018; XP_016870990; XP_016870996; XP_016871014; XP_016871023; NP_001030126; NP_001030128; XP_016871016; XP_016871020; XP_016871021; XP_016871025; XP_024303537; XP_024303538; NP_001277223; NP_001277227; XP_011537457; XP_011537469; XP_016870991; XP_016870998; XP_016871000; XP_016871007; XP_016871012; XP_016871022; XP_006717656; XP_011537442; XP_016870992; XP_016871002; XP_016871010; XP_016871026; XP_016871028; NP_001277224; NP_079267; XP_006717652; XP_016870994; XP_016870997; XP_016871004; XP_016871013; XP_016871029; NP_056200; XP_011537452; XP_016870999; XP_016871005; XP_016871009; XP_016871019; XP_016871024; NP_001030127; NP_001277225; NP_001277226; XP_016870989; XP_016870993; XP_016870995; XP_016871006; NP_001030129; NP_006425","Q5T928; Q5T929; Q9UHN7; Q5T927; Q96KF4; A6NJS4; O43857; Q9BX64; Q9BX65; Q8IVK0; Q96KF3; Q7LBE5; A6NEK3; A6NID8; B4DTX5; Q9BX66; A0AED4; Q5T930; Q5T932; Q9P2Q0; Q9UFT2; Q9Y338; A7MD40; D3DR42; Q5T923; Q5T924; Q5T931; Q8IVQ4"
"SORBS2",8470,"530378339; 1034641579; 1034641585; 1034641587; 1370487750; 1034641561; 1034641597; 1370487759; 224586846; 224586853; 578809561; 1034641563; 1034641571; 1034641575; 1034641583; 1034641589; 1034641605; 1034641607; 1034641609; 1370487755; 1370487757; 1034641539; 1034641565; 224586849; 224586851; 224586855; 1034641569; 1034641591; 1034641595; 1034641599; 1034641601; 1034641603; 530378347; 530378351; 1034641541; 1034641537; 1034641545; 1034641555; 1034641573; 1034641593; 224586844; 398650630; 10947118; 530378341; 530378345; 530378349; 578809565; 1034641535; 1034641547; 1034641559; 1034641567; 1034641577; 1034641581; 194733749","XP_016864257; XP_016864259; NP_001139145; NP_001257700; XP_005263364; XP_005263365; XP_016864228; XP_016864232; XP_016864237; XP_016864239; XP_016864243; XP_016864249; XP_016864253; XP_016864247; XP_016864248; XP_016864252; XP_016864258; XP_016864263; XP_024310025; XP_005263368; XP_016864227; XP_016864264; XP_016864229; XP_016864242; XP_016864244; XP_016864250; XP_016864251; XP_016864262; XP_024310027; NP_001139144; XP_005263367; XP_005263369; XP_016864240; XP_016864246; XP_016864254; XP_016864261; NP_001139142; NP_001139146; NP_003594; XP_005263370; XP_016864245; XP_016864255; XP_016864256; XP_016864260; XP_024310028; NP_001139147; NP_066547; XP_006714451; XP_006714453; XP_016864230; XP_016864233; XP_016864241; XP_024310026; NP_001139143","B7Z3D7; O94875; J3KNZ5; Q96EX0; B3KPQ7; G3XAI0; H7BXR4; D3DP62; A6NEK9; O60592; O60593; B7Z1G5; B7Z3X6; B7Z997; C9JKV9; E9PAW4; D3DP63; E9PAS5"
"SORBS3",10174,"1034658836; 1034658832; 1034658834; 530387505; 578815137; 155030230; 65301112","XP_005273428; NP_001018003; XP_016868435; XP_006716329; XP_016868433; NP_005766; XP_016868434","O60504; Q96FY4; Q9UQE4; Q5BJE4; Q6NX54"
"SORCS1",114815,"1034566265; 331028410; 330864757; 1034566268; 330864761; 767961391; 61743973; 767961395; 1034566262; 1034566270; 1034566272; 61743975; 330864759","XP_011537503; NP_001193500; NP_001193501; XP_016871103; NP_001013049; NP_001193498; NP_443150; XP_016871105; XP_011537501; XP_016871106; XP_016871107; NP_001193499; XP_016871104","Q5JVT8; Q86WQ1; E6Y3F9; A2RRF4; Q86WQ2; Q9H1Y2; B3KWN9; Q59GG7; B3KVZ0; Q8WY21; Q5VY14; Q5JVT7; E6Y3G0; A8K182; Q9H1Y1"
"SORCS2",57537,"767929253; 170014689; 767929255; 767929257; 767929259; 1034640761","XP_011511817; XP_011511816; XP_016863970; XP_005248044; XP_011511818; NP_065828","Q96PQ0; Q9P2L7"
"SORCS3",22986,"767962243; 18379346","XP_011537844; NP_055793","Q9UPU3; Q5VXF9; Q9NQJ2; Q86XB2"
"SORD",6652,"156627571","NP_003095","Q00796; B7Z3A6; Q9UMD6; Q16682; J3JZZ5; B2R655"
"SORL1",6653,"1034575033; 767970519; 1034575037; 1034575040; 767970515; 1034575035; 767970511; 1519311923","XP_016873659; XP_011541265; NP_003096; XP_011541267; XP_016873658; XP_016873661; XP_011541269; XP_016873660","Q92856; B2RNX7; A0A024R3H2; Q92673; E9PPB3"
"SORT1",6272,"578799561; 530363118; 530363122; 327315343; 17149834; 530363120","XP_005271158; XP_005271159; XP_006710875; NP_002950; XP_005271157; NP_001192157","Q8IZ49; C0JYZ0; B4DWI3; Q99523"
"SOS1",6654,"767915120; 530368008; 767915125; 15529996","XP_011531364; NP_005624; XP_005264572; XP_011531366","B4DXG2; Q07889; A8K2G3; G5E9C8"
"SOS2",6655,"154689780","NP_008870","Q07890; Q15503; D3DSB4; B7ZKT6; Q17RN1"
"SOST",50964,"13376846; ","NP_079513; ","Q495N9; Q9BQB4"
"SOSTDC1",25928,"23943785","NP_056279","A4D125; Q96HJ7; Q9Y3U3; Q6X4U4; A8MUA6"
"SOWAHA",134548,"613410203","NP_787069","-"
"SOWAHB",345079,"71274172","NP_001025041","B2RP29; A6NEL2"
"SOWAHC",65124,"54607077","NP_075392","Q53LP3; Q9H6U1; Q8NE15"
"SOWAHD",347454,"157743267","NP_001099046","A6NJG2"
"SOX1",6656,"30179900","NP_005977","Q5W0Q1; O00570"
"SOX10",6663,"5902104","NP_008872","P56693; B4DV62; A0A024R1N6; Q6FHW7"
"SOX11",6664,"4507161","NP_003099","P35716; Q4ZFV8"
"SOX12",6666,"21264339","NP_008874","O15370; Q5D038; Q9NUD4"
"SOX13",9580,"41406089; 530365663","XP_005245680; NP_005677","Q9UHW7; O95275; O95826; Q9UN79; Q5SXX1; Q3KQV7; B4E2B0"
"SOX14",8403,"4759162","NP_004180","Q3KPH7; O95416; B2RAC0"
"SOX15",6665,"5902106","NP_008873","B4DWU7; O60248; Q9Y6W7; P35717; D3DTQ0"
"SOX17",64321,"11967991","NP_071899","Q9H6I2"
"SOX18",54345,"8924248","NP_060889","Q0VGA9; P35713; Q9NPH8"
"SOX2",6657,"28195386; ","NP_003097; ","A0A0U3FYV6; P48431; Q14537"
"SOX21",11166,"5902108","NP_009015","P35715; Q9Y651; Q15504; Q5TBS1"
"SOX3",6658,"30061556","NP_005625","P35714; Q9NP49; P41225; Q5JWI3"
"SOX30",11063,"815890952; 5902112; 30581117; 530380827","NP_001295094; NP_008948; XP_005265860; NP_848511","O94993; B4DXW7; Q8IYX6; O94995"
"SOX4",6659,"4507163","NP_003098","Q06945"
"SOX5",6660,"767972374; 1034581344; 1034581350; 1034581375; 1370462708; 1370462712; 1370462722; 767972385; 1034581342; 1034581348; 1034581377; 1370462714; 1370462724; 1061899967; 1370462702; 1370462726; 1034581373; 1370462716; 30061558; 767972366; 1034581356; 1034581369; 1034581379; 1370462720; 387157920; 387157922; 767972364; 767972368; 1034581360; 1034581371; 1370462700; 1370462706; 1370462718; 23308713; 1034581363; 23308715; 767972370; 767972377; 1034581352; 1034581358; 1034581367; 1370462704; 1370462710","XP_024304920; XP_024304932; NP_694534; XP_016875390; XP_024304919; XP_016875381; XP_016875389; NP_001248343; XP_011519136; XP_016875377; XP_016875382; XP_016875383; XP_016875387; XP_016875388; XP_024304918; XP_024304921; XP_024304929; XP_011519134; XP_016875378; XP_016875380; XP_016875384; XP_016875386; XP_024304925; XP_011519139; XP_011519140; XP_011519144; XP_016875379; XP_024304928; NP_008871; NP_821078; XP_016875385; XP_016875391; XP_016875392; XP_024304922; XP_024304923; XP_024304927; XP_024304931; NP_001317714; XP_011519135; XP_011519137; XP_024304926; XP_024304933; NP_001248344","Q86UK8; P35711; Q8TEA4; T2CZM2; T2CYZ2; B7Z8V0; F5H5B0; A0A024RB06; F5H0I3; Q8J019; Q8J017; Q8N1D9; Q8J018; Q8J020; Q8N7E0"
"SOX6",55553,"71037389; 1541310008; 1541310029; 1541310039; 224967050; 1541310033","NP_001139291; NP_001354802; NP_201583; NP_001354801; NP_059978; NP_001139283","Q9H0I8; Q86VX7; Q9BXQ5; P35712; Q9BXQ3; Q9BXQ4"
"SOX7",83595,"13899269","NP_113627; ","Q53YD0; B4DKV0; Q9BT81"
"SOX8",30812,"30179903; ","NP_055402","P57073; Q9NZW2"
"SOX9",6662,"4557853; ","NP_000337; ","P48436; Q53Y80"
"SP1",6667,"38372901; 218751903; 767975190; 352962149","XP_011536998; NP_003100; NP_001238754; NP_612482; ","Q86TN8; Q9H3Q5; Q9NR51; P08047; G5E9M8; Q9NY21; Q9NYE7; E4Z9M7"
"SP100",6672,"122939208; 331999994; 331999996; 331999998; 331999992; 19923236","NP_001193633; NP_003104; NP_001193630; NP_001193631; NP_001073860; NP_001193632","E9PH61; P23497; Q9NP33; F8WFE2; Q13343; Q6ZMK3; B8ZZD8; O75450; B4DDX5; Q9UE32; E7EUA7; Q96F70; Q96T24; Q96T95; Q8TE34"
"SP110",3431,"297139787; 767917909; 767917914; 1034613579; 1370477523; 190343006; 530370291; 1370477526; 767917905; 1034613588; 578804234; 578804238; 767917903; 767917911; 190343010; 190343008; ","XP_005246582; XP_011509390; NP_004501; XP_006712550; NP_536349; XP_016859458; XP_024308619; NP_004500; XP_011509393; XP_011509394; XP_006712552; XP_011509391; XP_011509392; XP_016859457; NP_001171944; XP_024308618; ","Q14977; Q9HCT8; Q53TG2; Q14976; B4DVI4; Q9HB58; Q8WUZ6; F5H1M1"
"SP140",11262,"530369713; 530369717; 530369721; 578803560; 767916425; 767916431; 767916434; 52487277; 1034611254; 217330601; 767916427; 767916429; 530369719; 1034611260; 1034611272; 1034611274; 1034611276; 1034611252; 1034611258; 1034611262; 1034611270; 1034611278; 530369715; 1034611264; 510785766; 510785768; 767916436; 1034611256; 1034611266; 1034611268; 1034611248; 510785764","XP_005246311; XP_005246313; XP_011508817; NP_001265382; XP_016858732; XP_016858734; NP_001005176; NP_001265381; XP_005246310; XP_016858728; XP_016858730; XP_016858731; XP_016858735; XP_016858742; NP_009168; XP_005246312; XP_006712286; XP_011508818; XP_016858729; XP_016858740; NP_001265380; XP_005246309; XP_016858738; XP_016858741; XP_011508819; XP_011508820; XP_011508821; XP_011508822; XP_016858733; XP_016858736; XP_016858737; XP_016858739","Q13341; E9PFJ6; Q13342; Q96TG3; Q0VGE5; B4DVW8; Q92881; Q0VGE4; E7EUR5; Q53TG1; Q6NSG4; Q8IWJ1; Q4ZG66; E7ESH9; Q3KR17"
"SP140L",93349,"1034617792; 1034617796; 815890858; 767920648; 767920651; 1034617794; 1209857150; 1034617790; 1209857152; 578805203; 134133279; 1034617798; 1034617810; 1209857148; 815890864; 1034617800","NP_001295092; XP_011510492; XP_016860788; NP_001339822; NP_612411; NP_001339823; XP_016860786; NP_001295091; XP_011510493; XP_016860783; XP_016860784; XP_016860790; NP_001339821; XP_016860785; XP_016860787; XP_006712919","Q9H930; U5Y3U3; U5Y3L1; Q4ZG65; Q9BSP3; H7BYP4; Q2M375"
"SP2",6668,"767995644; 578831279; 578831283; 767995638; 767995646; 125625357; 1034600924; 767995642; 578831275; 578831281; 767995640; 767995653; 767995656; 1370471984","XP_016880457; XP_006722086; XP_011523442; NP_003101; XP_011523438; XP_006722090; XP_011523441; XP_011523439; XP_011523444; XP_011523440; XP_024306660; XP_006722088; XP_006722089; XP_011523445","Q02086; A6NK74"
"SP3",6670,"289577125; 289577131; 38373693","NP_003102; NP_001166183; NP_001017371","A0AVL9; Q69B26; Q69B27; Q8TD56; Q59FX5; B7ZLN9; B4E2B7; Q02447; Q9BQR1; Q86TP0; Q8WWU4"
"SP4",6671,"1034656679; 1030311313; 67010025; 767945716; 1030311311; 767945720; 530384942","NP_001313472; XP_016868046; XP_005249886; NP_001313471; XP_011513788; XP_011513789; NP_003103","Q32M51; A0A3B3IRW4; O60402; Q02446; Q32M52"
"SP5",389058,"530370327; 767918092; 51468067","NP_001003845; XP_005246599; XP_011509461","Q6BEB4"
"SP6",80320,"578831476; 384871624; 42263098","XP_006722178; NP_954871; NP_001245177","B3KXS4; Q3SY56; B3KXP2"
"SP7",121340,"767973172; 22902136; 291045138; 664806069; ","NP_001287766; NP_001166938; XP_011536202; NP_690599; ","Q7Z718; Q3MJ72; A0A024RAY8; B3KY26; Q8TDD2"
"SP8",221833,"39812501; 39812496","NP_945194; NP_874359","Q7Z615; Q8IXZ3; Q7Z616; A8K350; Q96MJ1"
"SP9",100131390,"223646113","NP_001138722","P0CG40"
"SPA17",53340,"1370459648; 8394343; 767970271","XP_024304351; NP_059121; XP_011541172","A0A172Q397; Q15506; B2R4F2; Q9BXF7"
"SPACA1",81833,"1034651767; 13569934; 767943650","XP_016866824; NP_112222; XP_011534462","Q9HBV2"
"SPACA3",124912,"954170022; 27777653; 954170025","NP_001304154; NP_776246; NP_001304155","Q8IXA5; Q05C28; A0A080YUZ7; Q7Z4Y5; E9PF91; E9PBS7"
"SPACA4",171169,"19424138","NP_598005","Q8TDM5; A0A140VJU1"
"SPACA5",389852,"1034674284; 118498373","XP_016885001; NP_995328","Q6UWD1; A0A140VJN7; Q96QH8"
"SPACA5B",729201,"120952755","NP_001073369","Q6UWD1; Q96QH8; A0A140VJN7"
"SPACA7",122258,"767979179; 767979189; 1034583822; 1034583820; 767979187; 1370463638; 767979177; 767979181; 304361754","XP_016875881; XP_016875880; NP_660291; XP_011535768; XP_011535773; XP_024305086; XP_011535769; XP_011535770; XP_011535774","Q5T8L1; Q96KW9"
"SPACA9",11092,"1034663644; 948284235; 1370513689; 1370513691; 948284200; 948284204; 33285006","NP_001303829; NP_061829; XP_016869720; XP_024303164; XP_024303165; NP_001303827; NP_001303826","Q9UGQ0; A0A024R8F2; Q96E40"
"SPAG1",6674,"767953475; 27262636; 1034661279; 27262638; 767953477; 767953479; 767953473; 767953483; 1034661273; ","XP_011515542; XP_016869244; XP_016869243; XP_011515543; XP_011515547; XP_011515544; XP_011515545; NP_003105; NP_757367","Q07617; B3KQ58; A6NP70; G3XAM3; Q7Z5G1"
"SPAG11A",653423,"1370512754; 1034661235; 1370512752; 126032340; 1034661237; 1393169987","XP_005272450; NP_001350655; XP_016869233; XP_005272449; XP_016869234; NP_001075021","C9IZU7; Q08648; Q9NRV7; E9PAK7; E9PFH0; Q9NRV4; Q546A0; C9JP82; Q6PDA7; Q9H4Q2; Q9NRV8; Q9H4P8; Q9H4Q0; Q6ZYB2; A0A0A0MR37; A6NIY0; Q9NRV5; Q9NRV6; Q9H4P9; Q9H4Q1; Q9NRT3"
"SPAG11B",10407,"126091042; 7706551; 17402929; 71999151; 126131097; 17402931; 126091070","NP_478108; NP_057596; NP_478113; NP_478114; NP_478109; NP_478107; NP_478110","E9PFH0; Q9NRV7; Q9H4P9; Q9H4Q0; Q9H4Q1; Q9NRV6; Q9NRV8; Q6ZYB2; A6NIY0; Q08648; E9PAK7; Q9NRV4; Q9NRT3; Q6PDA7; Q9H4P8; Q9H4Q2; Q9NRV5; A0A0A0MRG4; Q546A0"
"SPAG16",79582,"767919702; 767919704; 767919710; 767919718; 767919712; 70909324; 767919694; 767919726; 767919728; 1034616519; 1370478990; 578804890; 767919692; 767919698; 767919706; 767919720; 1034616515; 1034616517; 1034616521; 767919700; 767919708; 767919722; 767919739; 70887780; 767919696","XP_011510117; XP_011510133; XP_011510134; XP_016860385; XP_011510120; XP_011510121; XP_016860387; XP_011510119; XP_016860386; XP_011510116; XP_011510122; XP_011510124; XP_011510125; XP_011510139; XP_016860388; XP_024308908; NP_001020607; XP_011510123; XP_011510130; XP_011510131; NP_078808; XP_006712809; XP_011510118; XP_011510126; XP_011510129","Q68DB3; C9JV44; Q4G1A2; Q498B7; Q6I9Z6; B4DYB5; Q9H601; Q658W1; Q8N0X2; Q8N9C7"
"SPAG17",200162,"578798569; 767902973; 767902980; 767902989; 578798567; 578798571; 767902976; 767902978; 767902991; 767902984; 46240864; 578798573; 578798577","XP_011539241; XP_006710489; XP_006710494; XP_011539236; NP_996879; XP_006710490; XP_006710492; XP_011539239; XP_011539243; XP_011539244; XP_006710491; XP_011539237; XP_011539238","Q8NAZ1; Q9NT21; Q6Q759"
"SPAG4",6676,"768018139; 961658103; 530418330; 11037055","NP_001304860; XP_005260577; NP_003107; XP_011527311","Q9NPE6; O43648"
"SPAG5",10615,"73623035","NP_006452","Q96R06; O95213; Q9BWE8; Q9NT17; Q9UFE6"
"SPAG6",9576,"359718955; 530392552; 359718953; 27262641; 6912678; 530392554","XP_005252703; XP_005252702; NP_001240784; NP_036575; NP_001240783; NP_758442","Q5VUX6; Q6FI74; A0A140VJU9; B4DXZ4; A0A0A0MRT8; Q5VUX5; Q5VUX7; Q8NHQ6; A8K1I8; O75602"
"SPAG7",9552,"578830107; 118344454","XP_006721663; NP_004881","Q96EU5; I3L0X5; O75391"
"SPAG8",26206,"1370514266; 88853066; 1370514276; 27502373; 1370514270; 1370514274; 1370514268; 1370514272; 1562203531","NP_001353689; XP_024303278; XP_024303280; XP_024303282; NP_001034681; XP_024303283; XP_024303279; XP_024303281; NP_758516; ","Q99932; B4DY89; Q8WWB4; Q12937; A0A140VJV0; Q5TCV8; E9PDV6"
"SPAG9",9043,"530413061; 530413055; 1034601905; 1034601907; 1034601910; 27436920; 194578921; 194578923; 354681995; 530413067","NP_001238900; XP_016880774; NP_001124000; NP_003962; XP_005257828; XP_016880773; XP_005257831; NP_001123999; XP_016880772; XP_005257825","O60905; Q3MKM7; O60271; Q96II0; Q86WC7; A6H8U5; Q86WC8; Q5JB53; Q3KQU8; Q9H811; A8MSX0; B4DHH2; Q8IZX7"
"SPAM1",6677,"21314606; 291290981; 291290983; 291290979; 23510418","NP_001167517; NP_001167516; NP_001167515; NP_003108; NP_694859","Q8TC30; Q5D1J4; P38567"
"SPANXA1",30014,"14192937","NP_038481","Q9NS26; Q5JWI0"
"SPANXA2",728712,"22027489","NP_663695","Q5JWI0; Q9NS26"
"SPANXB1",728695,"608601818","NP_115850; ","Q5JYZ7; B2RPP2; Q9NS25; Q8TAD5; A0A0G2JJ56; Q32WQ7"
"SPANXC",64663,"608601814","NP_073152","Q32WM0; Q5JX88; Q9BS24; Q32WL9; Q8TAD1; Q32WL2; Q9NY87"
"SPANXD",64648,"14192939","NP_115793","Q9BXN6; Q5JWI1"
"SPANXN1",494118,"57528121; ","NP_001009614; ","Q5VSR9"
"SPANXN2",494119,"57634514","NP_001009615","Q0ZNM2; Q5MJ10"
"SPANXN3",139067,"1034673497; 614458156","NP_001009609; XP_016884753","Q0ZNK4; Q5MJ09"
"SPANXN4",441525,"1034674383; 1034674385; 57528117","XP_016885033; XP_016885032; NP_001009613","Q0ZNK6; X6R7N2; Q5MJ08; Q5W0S6"
"SPANXN5",494197,"57528144","NP_001009616","Q5MJ07"
"SPARC",6678,"827342587; 827342585; 4507171","NP_003109; NP_001296373; NP_001296372","P09486; Q6IBK4; D3DQH9"
"SPARCL1",8404,"190341024; 634743251; 190194423; 634743249","NP_001121782; NP_001278906; NP_001278905; NP_004675","B7ZB68; Q8N4S1; B4E2Z0; E7ESU2; Q14800; Q14515; A0A024RDE1"
"SPART",23111,"530402214; 530402218; 767977505; 1370463748; 214830079; 530402212; 214830109; 214830187; 21703346; 530402210","XP_005266374; NP_001135766; NP_001135767; NP_001135768; XP_024305102; XP_005266370; XP_005266372; XP_005266371; XP_011533314; NP_055902","Q86Y67; O60349; Q9H1T3; A0A024RDV9; Q9H1T2; Q8N0X7"
"SPAST",6683,"530368010; 40806170; 1034616127; 1034616124; 1393545649; 11875211; 1393630394; 767915132","NP_955468; NP_055761; NP_001350752; XP_016860267; NP_001350804; XP_011531369; XP_016860266; XP_005264573","Q9UBP0; A0A2U3TZR0; E5KRP5; A7E2A7; Q9UPR9; E5KRP6; A0A2R8Y4I8"
"SPATA1",100505741,"767907736; 767907752; 767907746; 1370451453; 767907738; 767907740; 767907742; 860609892","XP_011540821; XP_011540816; XP_011540819; XP_011540824; XP_024302057; NP_001297085; XP_011540817; XP_011540818","Q0VDJ9; Q9HAR4; A0PJU9; Q6P386; Q5VX52; A0A1W2PQB0; Q0VDK0"
"SPATA12",353324,"1370484041; 32171194","XP_024309278; NP_859078","A0A140VJV7; Q7Z6I5; B2RMW1; A0AVA8"
"SPATA13",221178,"557948043; 23308553; 557947982; 557947968; 557947976; 261337188","NP_001273721; NP_001273722; NP_001273723; NP_001273724; NP_694568; NP_001159743","B4DMC2; A2VEA9; J3KPJ7; E9PFR9; B4DVM8; J3KQH2; A0A024RDM6; Q96N96; Q8TEK6; B4DQB1; Q5VX68; B4DSZ0; Q8N873; A6NF85; Q6ZML1"
"SPATA16",83893,"1034635913; 190194384; 578807793; ","XP_006713841; XP_016862797; NP_114161; ","Q0R0N4; Q0R2T4; Q0R2U2; Q0R2V5; Q0R1G5; Q0R1I2; Q9BXB7; Q0R202; Q8NE67; Q0R0W2; Q0R280; Q0R2S4; Q0R129; Q0R1S4; Q0R2R1; Q0R0S0; Q0R140; Q0R2N7; Q0R2U8; Q0R2U9; Q0R131; Q0R1B8; Q0R2T7; Q0R1J6; Q0R2F8; Q0R2S3; Q0R2S5; A0A140VJV8; Q0R2N6; Q0R2R0; Q0R2V7"
"SPATA17",128153,"578800546; 767908417; 530366037; 20270345","XP_006711228; XP_011507496; NP_620151; XP_005273109","Q96L03; A5D6N2"
"SPATA18",132671,"767930643; 767930641; 662236778; 1069561734; 1034638397; 1069561731; 530376736; 767930649; 21687119; 1370486194; ","XP_005265774; XP_011532672; NP_001284537; NP_001333032; XP_011532674; XP_016863220; NP_001333031; NP_660306; XP_011532671; XP_024309659","Q8TC71; Q8N7D7; A0A140VKF4; E5RLK1; Q8IY48; B4E2R0"
"SPATA19",219938,"635172864; 28376652","NP_001278921; NP_777587; ","Q8N7A9; Q7Z5L4; A0A140VKB6"
"SPATA2",9825,"5174487; 578836253; 209413749","XP_006723957; NP_006029; NP_001129245","E1P626; A8K0S9; B4DID4; Q9UM82; O94857"
"SPATA20",64847,"385648253; 385648255; 31542723","NP_073738; NP_001245301; NP_001245302","Q8TB22; Q2XUZ6; Q8WVW3; Q9H747; Q6P0P1; Q2TA99"
"SPATA21",374955,"767904193; 1034558348; 767904216; 1034558351; 1034558343; 1034558340; 1034558356; 38348382; 1034558362; 1034558354; 1034558360; 1214740155; 1034558345; 1034558358","XP_011539709; XP_016856706; XP_016856709; XP_016856711; XP_016856713; XP_016856712; NP_940948; XP_011539719; NP_001340278; XP_016856705; XP_016856707; XP_016856710; XP_016856708; XP_016856714","F5GXP5; B9EK40; Q7Z572"
"SPATA22",84690,"1008806535; 282847494; 282847498; 282847502; 282847500; 282847492; 282847496; 1008806466","NP_001164168; NP_001164170; NP_001164167; NP_001308265; NP_115987; NP_001164166; NP_001164169; NP_001308266","Q96JT4; B4DHW8; J3KN63; Q8NHS9; B4DXB1; F5GWB9; Q969H3; A0A140VJV9; D3DTI9"
"SPATA24",202051,"530379755; 767935559; 210147558; 767935555; 767935557","XP_005271973; XP_011541554; XP_011541555; NP_919272; XP_011541556","Q86W54"
"SPATA25",128497,"18129630; 1370480191","XP_024307594; NP_542175","Q9BR10"
"SPATA2L",124044,"31377585; 530424660","NP_689552; XP_005256336","D3DX85; Q8IUW3; Q8NHV3"
"SPATA3",130560,"31712020; 1034611652; 530369823; ","XP_005246360; NP_620712; XP_016858852; ","Q8NHX4; Q86WX5; Q8N9Y6"
"SPATA31A1",647060,"767955210; 1432257310","XP_011516308; NP_001078921; ","A0A0R4J2F1; B4DYR9"
"SPATA31A3",727830,"767955953; 133892686","XP_011543982; NP_001076593","Q5VYP0"
"SPATA31A5",727905,"165377334; 767955809","NP_001107013; XP_011543973","Q5VU36"
"SPATA31A6",389730,"767954871; 223633941","NP_001138668; XP_011516173","Q5VVP1"
"SPATA31A7",26165,"153791826","NP_056482","Q4VX67; Q5TZK4; Q8IWB4; Q9Y4Q5"
"SPATA31C1",441452,"223468617; 767957486; 767957488","XP_011517003; NP_001138596; XP_011517004","P0DKV0"
"SPATA31C2",645961,"260898770; 1187443702","NP_001337907; NP_001159609","Q9Y4N5; B4DYI2"
"SPATA31D1",389763,"1034665223; 48717285","NP_001001670; XP_016870199","Q6ZQQ2"
"SPATA31D3",389762,"223633944","NP_997299","P0C874"
"SPATA31D4",389761,"223671858","NP_001138669","A0A0J9YX51; Q6ZUB0"
"SPATA31E1",286234,"155029550","NP_849150","Q8ND27; Q6ZUB1; Q8NA41; Q5SQC9; B2RPB1"
"SPATA32",124783,"149408117","NP_689556","Q8N6V6; Q96LK8; Q7Z4U1"
"SPATA33",124045,"429325237; 23308501; 578828823; 429325241; 429325235; 429325239","NP_001258839; NP_694570; XP_006721196; NP_001258838; NP_001258836; NP_001258837","A0A087WYH0; Q96N06; A8WFL2; B4DZN8"
